#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
1;0;Tanne;101;1;2033;67.3247113612812;31.0;L3;5;0.3;21.0;66.66;50.05;35.76;4.21;4.74;0.0;0.43;531.6;
2;0;Tanne;101;1;2033;67.3247113612812;31.0;L1;3a;21.4;4.5;35.56;30.55;24.13;0.32;0.37;0.0;0.09;34.87;
3;0;Tanne;101;1;2033;67.3247113612812;31.0;Restholz 1;Restholz 1;26.0;5.0;23.8;13.99;0.0;0.09;0.1;0.0;0.0;4.39;
#Summe:;0;Tanne;101;1;2033;67.3247113612812;31.0;;;;;;;;4.61;5.21;;;570.86;
#
4;1;Tanne;101;1;2033;25.9123847602974;15.0;L2;2a;0.3;7.5;24.61;22.19;18.01;0.28;0.32;0.0;0.09;26.23;
5;1;Tanne;101;1;2033;25.9123847602974;15.0;L2;1a;7.9;7.0;17.9;13.04;0.59;0.09;0.1;0.0;0.0;4.46;
#Summe:;1;Tanne;101;1;2033;25.9123847602974;15.0;;;;;;;;0.37;0.42;;;30.69;
#
6;2;Tanne;101;1;2033;112.203972599245;42.0;L3;6;0.3;22.0;112.75;79.48;68.61;11.86;13.34;0.0;3.39;1560.59;
7;2;Tanne;101;1;2033;112.203972599245;42.0;L3;5;22.4;16.0;68.45;51.47;22.14;3.29;3.78;0.0;0.05;415.73;
8;2;Tanne;101;1;2033;112.203972599245;42.0;L1;1a;38.5;3.0;21.63;13.34;3.62;0.05;0.06;0.0;0.0;2.32;
9;2;Tanne;101;1;2033;112.203972599245;42.0;Restholz 1;Restholz 1;41.6;0.4;2.91;1.47;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;2;Tanne;101;1;2033;112.203972599245;42.0;;;;;;;;15.2;17.17;;;1978.65;
#
10;3;Tanne;101;1;2033;39.9758415232371;21.0;L2;3b;0.3;7.0;38.71;35.21;31.47;0.67;0.75;0.0;0.54;72.75;
11;3;Tanne;101;1;2033;39.9758415232371;21.0;L2;2b;7.4;9.0;31.36;26.1;18.49;0.47;0.54;0.0;0.05;47.68;
12;3;Tanne;101;1;2033;39.9758415232371;21.0;L1;1a;16.5;4.0;18.25;12.25;3.01;0.05;0.06;0.0;0.0;2.44;
13;3;Tanne;101;1;2033;39.9758415232371;21.0;Restholz 1;Restholz 1;20.6;0.4;2.43;1.24;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;3;Tanne;101;1;2033;39.9758415232371;21.0;;;;;;;;1.19;1.34;;;122.87;
#
14;4;Fichte;100;1;2033;49.8360207257911;37.0;L1;4;0.3;6.0;50.68;43.47;39.76;0.89;0.97;0.0;1.86;113.07;
15;4;Fichte;100;1;2033;49.8360207257911;37.0;L3;3b;6.4;16.0;39.68;35.13;27.51;1.5;1.66;0.0;0.34;181.56;
16;4;Fichte;100;1;2033;49.8360207257911;37.0;L1;2b;22.5;3.0;27.38;25.32;23.09;0.14;0.16;0.0;0.18;15.69;
17;4;Fichte;100;1;2033;49.8360207257911;37.0;L1;1b;25.6;5.0;22.94;18.84;14.3;0.14;0.16;0.0;0.04;10.17;
18;4;Fichte;100;1;2033;49.8360207257911;37.0;L1;1a;30.7;4.0;14.11;10.12;5.72;0.03;0.04;0.0;0.0;1.65;
19;4;Fichte;100;1;2033;49.8360207257911;37.0;Restholz 1;Restholz 1;34.8;2.2;5.49;2.84;0.0;0.0;0.0;0.0;0.0;0.09;
#Summe:;4;Fichte;100;1;2033;49.8360207257911;37.0;;;;;;;;2.71;3.01;;;322.24;
#
