fsID,area,HYBRID,ProtFor,fs_NatRes,fs_NatProt,BAU,WOOD,BIO,ds,Cluster_ID,ds_text,rst,SEmme,Above1000m,area_ha,age,elev,SHORTNAME
1,32587,1,0,2,2,1,1,1,ds6,2769.0,Starkes Baumholz,Starkes Baumholz_6,1,1,3.259,not_young,984.9,Fontannen b. W.
2,54423,4,1,0,1,2,4,2,ds4,2844.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,5.442,not_young,936.5,Romoos
13,22020,4,0,0,0,3,4,3,ds4,784.0,Schwaches Baumholz,Schwaches Baumholz_13,1,1,2.202,not_young,851.7,Wiggen
16,28403,3,0,0,0,3,3,3,ds5,4812.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,2.84,not_young,1046.5,Escholzmatt
17,28309,3,0,0,0,3,3,3,ds5,2760.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,2.831,not_young,974.8,Wiggen
22,25842,3,0,0,0,3,3,3,ds5,715.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,2.584,not_young,1091.3,Schüpfheim
23,14073,3,0,0,0,3,3,1,ds2,904.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,1.407,young,1132.7,Escholzmatt
27,21372,3,0,0,0,3,3,3,ds6,738.0,Starkes Baumholz,Starkes Baumholz_6,1,1,2.137,not_young,1045.7,Schüpfheim
29,22179,3,0,0,0,3,3,3,ds1,972.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,2.218,young,1088.5,Escholzmatt
39,13938,3,0,0,0,3,3,3,ds6,756.0,Starkes Baumholz,Starkes Baumholz_6,1,1,1.394,not_young,996.5,Fontannen b. W.
50,48842,2,1,0,1,2,2,2,ds4,756.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,4.884,not_young,938.2,Romoos
54,16921,3,0,0,0,3,3,3,ds6,504.0,Starkes Baumholz,Starkes Baumholz_13,1,1,1.692,not_young,985.3,Escholzmatt
58,17687,3,0,0,0,3,3,3,ds4,747.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.769,not_young,1080.0,Escholzmatt
65,22592,3,0,0,0,3,3,3,ds4,2770.0,Schwaches Baumholz,Schwaches Baumholz_13,1,1,2.259,not_young,926.7,Romoos
69,56887,2,1,0,1,2,2,2,ds6,6699.0,Starkes Baumholz,Starkes Baumholz_13,1,1,5.689,not_young,929.7,Romoos
81,49727,3,0,0,0,3,3,3,ds6,8763.0,Starkes Baumholz,Starkes Baumholz_13,1,1,4.973,not_young,808.2,Fontannen b. W.
85,15653,3,0,0,0,3,3,3,ds4,2744.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.565,not_young,997.7,Bramboden
87,55178,2,1,0,1,2,2,2,ds3,774.0,Stangenholz,Stangenholz_6,1,1,5.518,not_young,1398.9,Marbach LU
89,45070,3,0,0,0,3,3,3,ds2,836.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,4.507,young,1092.0,Schüpfheim
90,41784,3,0,0,0,3,3,1,ds4,4785.0,Schwaches Baumholz,Schwaches Baumholz_13,1,1,4.178,not_young,906.1,Romoos
93,57457,3,0,0,0,3,3,1,ds6,6726.0,Starkes Baumholz,Starkes Baumholz_6,1,1,5.746,not_young,1049.1,Romoos
96,36650,3,0,0,0,3,3,1,ds5,4726.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,3.665,not_young,1046.2,Bramboden
105,17839,3,0,0,0,3,3,3,ds4,690.0,Schwaches Baumholz,Schwaches Baumholz_13,1,1,1.784,not_young,1000.0,Romoos
122,6533,3,0,0,0,3,3,3,ds2,805.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,0.653,young,1065.1,Fontannen b. W.
123,22495,3,0,0,0,3,3,3,ds3,740.0,Stangenholz,Stangenholz_6,1,1,2.25,not_young,1172.0,Escholzmatt
127,20914,3,0,0,0,3,3,3,ds3,729.0,Stangenholz,Stangenholz_6,1,1,2.091,not_young,1090.4,Romoos
128,27201,1,0,2,2,1,1,1,ds3,735.0,Stangenholz,Stangenholz_6,1,1,2.72,not_young,1149.3,Bramboden
136,83647,2,1,0,1,2,2,2,ds5,2646.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,8.365,not_young,801.0,Flühli LU
