Id,OBJECTID,ESTUFE1_ID,ESTUFEBEZ,VORRAT_HA_,GDICK,JWDICK,HS_en,alt_zone,area_ha,nat_res,plant,prot,p1,p5_old,BAU,BIO,HYBRID,WOOD,nat15,selve_cast,ceduo,p5,Id_2,manag,fsID,rst,elev,Above1000m,age,buf500,no_beech,StrictProt,SHORTNAME,elev_band
,80937.0,4.0,Mittleres Baumholz,260.0,FI (6) / LA (4),,subalpine,8.0,0.3,,,1.0,,,2,2,2,2,,,,,,,2296,Mittleres Baumholz_8,1981.3,1,not_young,0,0,1,Braggio,1500_2000
,81372.0,3.0,Schwaches Baumholz,48.0,FI (10),,-,5.0,0.4,,,,,,3,3,3,3,,,,,,,2352,Schwaches Baumholz_5,2095.5,1,not_young,0,0,0,Braggio,2000_2500
,83245.0,1.0,Jungwuchs/Dickung,264.0,FI (7),,subalpine,8.0,0.4,,,1.0,,,2,2,2,2,,,,,,,2601,Jungwuchs/Dickung_8,1863.3,1,young,0,0,1,Braggio,1500_2000
,130591.0,4.0,Mittleres Baumholz,176.0,FI (8) / LA (2),,upper subalpine,9.0,2.1,,,1.0,,,2,2,2,2,,,,,,,4613,Mittleres Baumholz_9,1852.5,1,not_young,0,0,1,Braggio,1500_2000
,130592.0,2.0,Stangenholz,42.0,FI (9) / LA (1),,upper subalpine,9.0,0.3,,,1.0,,,2,2,2,2,,,,,,,4614,Stangenholz_9,1927.7,1,not_young,0,0,1,Braggio,1500_2000
,130593.0,3.0,Schwaches Baumholz,217.0,FI (10),,upper subalpine,9.0,0.5,,,1.0,,,2,2,2,2,,,,,,,4615,Schwaches Baumholz_9,1872.7,1,not_young,0,0,1,Braggio,1500_2000
,130595.0,4.0,Mittleres Baumholz,180.0,,,upper subalpine,9.0,0.9,,,1.0,,,2,2,2,2,,,,,,,4617,Mittleres Baumholz_9,1847.6,1,not_young,0,0,1,Braggio,1500_2000
,4006.0,4.0,Mittleres Baumholz,418.0,FI (8),,high-montane (main area of silver fir),10.0,2.1,,,1.0,,,2,2,2,2,,,,,,,6,Mittleres Baumholz_10,1359.3,1,not_young,0,0,1,Verdabbio,1000_1500
,51395.0,3.0,Schwaches Baumholz,195.0,,,colline with beech,2.0,2.8,,,1.0,,,2,2,2,2,,,,,,,657,Schwaches Baumholz_2,760.1,0,not_young,0,0,1,Verdabbio,500_1000
,52757.0,2.0,Stangenholz,130.0,TEI (4) / KA (5) / BI (1) / MBE (e) / WFO (e),TEI (1) / KA (9) / BI (e) / WFO (e),colline with beech,2.0,3.1,,,1.0,,,2,2,2,2,,,,,,,665,Stangenholz_2,619.3,0,not_young,0,0,1,Verdabbio,500_1000
