area_ha,alt_zone,type,age,BAU,HYBRID,WOOD,NONE,BIO,fsID,ds,rst,distance,elev,SHORTNAME
3.6,12,plant10,young,3,4,4,0,3,7359,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1398.3,Siat
2.2,12,plant10,young,3,4,4,0,3,7365,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1478.8,Andiast
2.8,12,other,young,3,3,3,0,3,6312,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1238.6,Surrein
0.2,11,prot_no_nat,young,2,2,2,0,2,7338,Jungwuchs/Dickung,Jungwuchs/Dickung_11,689.2828942577476,1146.2,Surcuolm
0.7,12,plant30,young,3,3,4,0,3,7107,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1414.6,Surrein
1.1,12,nat15,young,3,3,3,0,1,6315,Jungwuchs/Dickung,Jungwuchs/Dickung_12,6.205833389343684,1382.8,Surrein
0.5,12,nat15,young,1,3,3,0,1,6321,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1362.7,Surrein
0.1,11,prot_no_nat,young,2,2,2,0,2,7342,Jungwuchs/Dickung,Jungwuchs/Dickung_11,16.99675965302567,1219.5,Sumvitg
2.4,12,other,young,3,3,3,0,3,6322,Jungwuchs/Dickung,Jungwuchs/Dickung_12,7.433997292603316,1463.3,Surrein
0.5,12,nat15,young,3,3,3,0,1,6319,Jungwuchs/Dickung,Jungwuchs/Dickung_12,85.07391410487534,1413.1,Surrein
1.4,11,prot_no_nat,young,2,2,2,0,2,7345,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1305.0,Surrein
0.7,11,prot_no_nat,young,2,2,2,0,2,7350,Jungwuchs/Dickung,Jungwuchs/Dickung_11,133.03594689146996,1234.6,Obersaxen
1.5,12,plant30,young,3,3,4,0,3,7087,Jungwuchs/Dickung,Jungwuchs/Dickung_12,144.75028332829243,1310.5,Surrein
0.4,11,prot_no_nat,young,2,2,2,0,2,7347,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1187.8,Cumpadials
0.6,12,plant30,young,3,3,4,0,3,7129,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1280.7,Surrein
5.9,8,prot_no_nat,young,2,2,2,0,2,7394,Jungwuchs/Dickung,Jungwuchs/Dickung_8,0.0,1556.7,Waltensburg/Vuorz
1.9,8,prot_no_nat,young,2,2,2,0,2,7397,Jungwuchs/Dickung,Jungwuchs/Dickung_8,0.0,1732.5,Rueun
