rst,area_ha,fsID,pub_priv,HYBRID,BAU,WOOD,BIO
2_1,6.772,5,1,3,2,3,2
2_1,8.040,6,1,3,2,3,2
2_1,1.754,10,0,3,2,3,2
2_1,6.190,20,1,3,2,3,2
2_1,8.591,23,1,3,2,3,2
2_1,4.362,28,1,3,2,3,2
2_2,6.043,39,1,3,2,3,2
4_1,8.337,61,1,3,2,3,2
4_1,2.583,109,1,3,2,3,2
4_1,2.848,121,1,3,2,3,2
4_1,4.499,123,1,3,2,3,2
4_1,2.775,152,1,3,2,3,2
4_1,4.628,159,1,3,2,3,2
4_1,5.772,176,1,3,2,3,2
4_1,1.752,177,1,3,2,3,2
4_1,4.991,186,1,3,2,3,2
4_1,3.723,188,1,3,2,3,2
4_1,1.488,195,1,3,2,3,2
4_1,9.612,200,1,3,2,3,2
4_1,5.667,206,1,3,2,3,2
4_1,1.430,207,0,3,2,3,2
4_1,4.570,210,1,3,2,3,2
4_1,9.487,220,1,3,2,3,2
4_1,5.702,223,1,3,2,3,2
4_1,2.883,233,1,3,2,3,2
4_1,2.330,239,1,3,2,3,2
4_1,4.201,267,1,3,2,3,2
4_1,7.259,275,1,3,2,3,2
4_1,4.732,278,0,3,2,3,2
4_1,4.355,297,1,3,2,3,2
4_1,6.488,305,1,3,2,3,2
4_1,5.460,313,1,3,2,3,2
4_1,9.021,315,1,3,2,3,2
4_1,3.695,317,1,3,2,3,2
4_1,2.801,333,1,3,2,3,2
4_1,4.606,349,1,3,2,3,2
4_1,2.642,367,1,3,2,3,2
4_1,5.566,374,1,3,2,3,2
4_1,8.324,375,1,3,2,3,2
4_2,6.869,380,1,3,2,3,2
4_2,3.403,383,1,3,2,3,2
4_2,7.696,392,1,3,2,3,2
4_2,4.925,393,1,3,2,3,2
4_2,2.898,416,1,3,2,3,2
4_2,4.073,425,1,3,2,3,2
4_2,4.944,446,1,3,2,3,2
4_2,4.191,452,1,3,2,3,2
4_2,1.502,460,1,3,2,3,2
4_2,5.624,470,1,3,2,3,2
4_2,5.594,478,1,3,2,3,2
4_2,3.358,487,1,3,2,3,2
4_2,4.279,489,1,3,2,3,2
4_3,3.244,495,1,3,2,3,2
4_3,9.631,504,1,3,2,3,2
4_3,11.026,509,1,3,2,3,2
5_1,6.969,545,1,3,2,3,2
5_1,5.773,569,1,3,2,3,2
5_1,15.571,571,1,3,2,3,2
5_1,5.970,588,1,3,2,3,2
5_1,0.905,595,1,3,2,3,2
5_1,1.421,602,1,3,2,3,2
5_1,8.910,608,1,3,2,3,2
5_1,3.271,614,1,3,2,3,2
5_1,3.814,615,1,3,2,3,2
5_1,12.060,616,1,3,2,3,2
5_1,5.375,621,1,3,2,3,2
5_1,4.148,630,1,3,2,3,2
5_1,2.288,635,1,3,2,3,2
5_1,2.698,636,1,3,2,3,2
5_1,5.539,645,1,3,2,3,2
5_1,6.282,648,1,3,2,3,2
5_1,7.695,670,0,3,2,3,2
5_1,5.920,684,1,3,2,3,2
5_1,10.226,685,1,3,2,3,2
5_1,8.753,690,1,3,2,3,2
5_1,5.194,697,1,3,2,3,2
5_2,6.955,718,1,3,2,3,2
5_2,1.853,729,1,3,2,3,2
5_2,0.765,742,1,3,2,3,2
5_2,2.063,750,1,3,2,3,2
5_2,3.948,752,1,3,2,3,2
5_2,3.006,753,1,3,2,3,2
5_2,4.474,755,1,3,2,3,2
5_2,11.258,761,1,3,2,3,2
5_2,9.573,768,1,3,2,3,2
5_2,1.906,776,1,3,2,3,2
5_2,2.791,791,1,3,2,3,2
5_2,2.154,803,1,3,2,3,2
5_2,1.920,869,1,3,2,3,2
5_2,2.418,872,1,3,2,3,2
5_3,5.534,918,1,3,2,3,2
5_3,8.418,934,1,3,2,3,2
5_3,14.740,960,1,3,2,3,2
5_3,18.142,962,1,3,2,3,2
5_3,8.244,966,1,3,2,3,2
5_3,10.483,969,1,3,2,3,2
4_1,4.580,990,1,3,2,3,2
4_1,4.539,992,1,3,2,3,2
4_1,4.660,993,1,3,2,3,2
4_1,4.845,1009,1,3,2,3,2
4_1,4.940,1019,1,3,2,3,2
4_3,4.485,1031,1,3,2,3,2
5_1,4.628,1044,1,3,2,3,2
5_3,8.622,1079,1,3,2,3,2
2_1,3.608,1089,1,3,2,3,2
2_2,5.470,1093,1,3,2,3,2
4_1,2.827,1097,1,3,2,3,2
4_1,3.679,1111,1,3,2,3,2
4_1,6.878,1114,1,3,2,3,2
4_1,13.347,1130,1,3,2,3,2
4_1,7.330,1139,1,3,2,3,2
4_1,13.027,1146,1,3,2,3,2
4_1,7.906,1147,1,3,2,3,2
4_1,13.300,1149,1,3,2,3,2
4_1,14.899,1158,1,3,2,3,2
4_1,9.627,1167,1,3,2,3,2
4_1,8.517,1191,1,3,2,3,2
4_1,3.069,1200,0,3,2,3,2
4_1,12.356,1213,1,3,2,3,2
4_1,13.068,1230,1,3,2,3,2
4_1,6.703,1231,1,3,2,3,2
4_1,5.207,1233,1,3,2,3,2
4_2,6.294,1251,1,3,2,3,2
4_2,8.221,1268,1,3,2,3,2
4_2,5.193,1276,1,3,2,3,2
4_2,6.574,1279,1,3,2,3,2
4_2,5.977,1283,1,3,2,3,2
4_2,7.491,1284,1,3,2,3,2
4_3,8.259,1305,1,3,2,3,2
4_3,2.816,1306,1,3,2,3,2
5_1,8.093,1316,1,3,2,3,2
5_1,8.677,1327,1,3,2,3,2
5_1,11.189,1339,1,3,2,3,2
5_1,6.443,1344,1,3,2,3,2
5_1,9.375,1373,1,3,2,3,2
5_1,9.322,1374,1,3,2,3,2
5_1,12.025,1383,1,3,2,3,2
5_1,10.116,1387,1,3,2,3,2
5_1,9.151,1388,1,3,2,3,2
5_1,8.705,1392,1,3,2,3,2
5_1,12.399,1407,1,3,2,3,2
5_2,4.865,1420,1,3,2,3,2
5_2,14.582,1428,1,3,2,3,2
5_2,10.634,1432,1,3,2,3,2
5_2,6.507,1444,1,3,2,3,2
5_2,4.269,1448,1,3,2,3,2
5_2,13.748,1449,1,3,2,3,2
5_2,7.331,1456,1,3,2,3,2
5_2,11.192,1465,1,3,2,3,2
5_2,9.474,1468,1,3,2,3,2
5_2,8.816,1474,1,3,2,3,2
5_2,11.741,1476,1,3,2,3,2
5_2,5.305,1486,1,3,2,3,2
5_3,11.653,1505,1,3,2,3,2
5_3,14.410,1507,1,3,2,3,2
2_1,21.279,1523,1,3,2,3,2
2_1,7.715,1530,1,3,2,3,2
4_1,5.257,1545,1,3,2,3,2
4_1,13.868,1546,1,3,2,3,2
4_1,7.893,1555,1,3,2,3,2
4_1,5.045,1565,1,3,2,3,2
4_1,5.824,1569,1,3,2,3,2
4_1,5.322,1581,1,3,2,3,2
4_1,6.218,1582,1,3,2,3,2
4_1,7.228,1585,0,3,2,3,2
4_1,17.153,1590,1,3,2,3,2
4_1,16.544,1594,1,3,2,3,2
4_1,5.203,1615,1,3,2,3,2
4_1,9.155,1623,1,3,2,3,2
4_1,11.615,1629,1,3,2,3,2
4_1,5.524,1634,1,3,2,3,2
4_1,7.664,1635,1,3,2,3,2
4_1,6.393,1650,1,3,2,3,2
4_1,5.590,1654,1,3,2,3,2
4_1,8.095,1663,1,3,2,3,2
4_3,7.590,1703,1,3,2,3,2
4_3,9.276,1705,1,3,2,3,2
4_3,5.477,1709,1,3,2,3,2
5_1,7.934,1730,1,3,2,3,2
5_1,5.050,1747,1,3,2,3,2
5_1,6.832,1748,1,3,2,3,2
5_1,7.402,1755,1,3,2,3,2
5_1,9.088,1758,1,3,2,3,2
5_1,6.025,1768,1,3,2,3,2
5_1,5.788,1776,1,3,2,3,2
5_1,8.434,1778,1,3,2,3,2
5_3,5.248,1800,1,3,2,3,2
