#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
1;0;Fichte;100;2;2015;38.64468792382484;32.0;L3;3a;0.3;16.5;39.18;30.02;24.54;1.21;1.33;0.0;0.3;146.48;
2;0;Fichte;100;2;2015;38.64468792382484;32.0;L1;2a;16.9;5.5;24.44;21.52;18.01;0.19;0.22;0.0;0.09;20.05;
3;0;Fichte;100;2;2015;38.64468792382484;32.0;L2;1a;22.5;9.0;17.87;10.76;1.28;0.09;0.11;0.0;0.0;4.6;
4;0;Fichte;100;2;2015;38.64468792382484;32.0;Restholz 1;Restholz 1;31.6;0.4;1.03;0.52;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;0;Fichte;100;2;2015;38.64468792382484;32.0;;;;;;;;1.5;1.66;;;171.12;
#
5;1;Fichte;100;28;2015;24.03133178346057;23.0;L2;2a;0.3;8.5;24.18;20.58;18.14;0.28;0.31;0.0;0.17;29.27;
6;1;Fichte;100;28;2015;24.03133178346057;23.0;L1;1b;8.9;5.0;18.08;16.31;14.14;0.1;0.11;0.0;0.06;7.47;
7;1;Fichte;100;28;2015;24.03133178346057;23.0;L2;1a;14.0;7.0;14.05;10.12;4.53;0.06;0.07;0.0;0.0;2.85;
8;1;Fichte;100;28;2015;24.03133178346057;23.0;Restholz 1;Restholz 1;21.1;1.9;4.33;2.31;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;1;Fichte;100;28;2015;24.03133178346057;23.0;;;;;;;;0.44;0.49;;;39.64;
#
9;2;Fichte;100;32;2015;2.675527852495676;4.0;Restholz 1;Restholz 1;0.3;3.7;3.02;2.01;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;2;Fichte;100;32;2015;2.675527852495676;4.0;;;;;;;;0.0;0.0;;;0.06;
#
10;3;Fichte;100;68;2015;40.58976604081653;33.0;L3;3a;0.3;22.0;41.18;30.06;19.9;1.58;1.74;0.0;0.13;190.75;
